url,title,text,topic,tags,date
https://lenta.ru/news/2002/07/24/visas/,Жителям Калининградской области понадобятся пять тысяч виз каждый день,"Около пяти тысяч виз ежедневно потребуется выдавать для транзита жителей Калининградской области в основную часть России и обратно в случае введения визового режима. Об этом заявил на пресс-конференции в медиа-центре газеты ""Известия"" губернатор Калининградской области Владимир Егоров. Как передает информационное агентство РИА ""Новости"", затем Егоров объяснил журналистам, как он вывел такие цифры. По словам губернатора, за 2001 год через таможенно-пограничные переходы в Калининградской области прошли 8 миллионов человек и было пропущено 3,5 миллиона автомобилей. Кроме того, 960 тысяч человек пересекло границы области по железной дороге, 560 тысяч автотранспортом, 105 тысяч - авиационным транспортом. Эти цифры дают возможность посмотреть, к чему приведет введение визового режима, заявил Егоров.",Россия,Все,2002/07/24
https://lenta.ru/news/2012/04/17/nomoredeal/,Северная Корея отказалась от ядерного моратория,"Северная Корея отказалась от моратория на ракетные и ядерные испытания, на который ранее власти страны пошли по условиям соглашения с США в обмен на продовольственную помощь. Об этом сообщает Reuters. В официальном сообщении власти КНДР отметили, что так как США нарушают условия договора, то Северная Корея также более ""не считает себя обязанной его выполнять"". В сообщении также подчеркивалось, что Пхеньян оставляет за собой право принимать ""необходимые карательные меры"", однако не уточнялось, какие именно. О том, что КНДР согласилась ввести мораторий на ядерные испытания и запуски ракет дальнего радиуса действия, а также прекратить работы по обогащению урана, стало известно в конце февраля 2012 года. В обмен на это США обязались поставить в Северную Корею 240 тысяч тонн продовольствия и предпринять меры по улучшению двусторонних отношений. В рамках сделки Пхеньян также согласился впервые с 2009 года пустить инспекторов МАГАТЭ в научно-исследовательский центр в Йонбене, который является крупнейшим ядерным объектом страны. 16 апреля было объявлено, что КНДР отказывается от выполнения этого обязательства. Отношения Северной Кореи с США, а также с другими странами мирового сообщества резко ухудшились после того, как в середине марта стало известно о намерениях Пхеньяна запустить в космос ракету ""Ынха-3"", которая должна была вывести на орбиту спутник. 28 марта Вашингтон приостановил поставки обещанного продовольствия, а впоследствии обвинил власти КНДР в использовании запуска спутника в качестве прикрытия для испытания боевой ракеты. В свою очередь, Пхеньян настаивал на исключительно мирном характере своих действий. Запуск ""Ынха-3"", приуроченный к 100-летию со дня рождения Ким Ир Сена, был осуществлен 13 апреля. Спустя минуту после запуска ракета развалилась, а ее обломки рухнули в океан. 16 апреля действия КНДР были официально осуждены Совбезом ООН как нарушающие резолюцию, запрещающую Пхеньяну производить любые пуски баллистических ракет.",Мир,Все,2012/04/17
https://lenta.ru/news/2008/10/13/bykov/,Вячеслав Быков продлил контракт с Федерацией хоккея России,"Главный тренер сборной России по хоккею Вячеслав Быков подписал новый контракт с Федерацией хоккея России (ФХР). Соглашение рассчитано до конца сезона-2008/09, а в случае успешного выступления команды на чемпионате мира 2009 года в Швейцарии (попадание в тройку призеров) будет продлено еще на год, сообщает ""Газета.Ру"". Новый контракт подписан также с помощником Быкова Игорем Захаркиным. На сайте ФХР эта информация официального подтверждения пока не получила. 13 октября в 15:00 в здании Олимпийского комитета России (ОКР) началась пресс-конференция с участием Быкова, Захаркина, президента ФХР Владислава Третьяка и генерального менеджера сборной России Анатолия Бардина. 48-летний Вячеслав Быков был назначен главным тренером сборной России в августе 2006 года. На чемпионате мира 2007 года в Москве российская команда завоевала бронзовые медали, а 2008 году выиграла чемпионат мира в Канаде. Вскоре после этого успеха президент ФХР Третьяк пообещал, что Быков будет работать со сборной России до Олимпиады 2010 года в Ванкувере.",Спорт,Все,2008/10/13
https://lenta.ru/news/2016/04/28/cumhuriyet_srok/,Турецким журналистам дали два года тюрьмы за перепечатку карикатур Charlie Hebdo,"Турецкий суд приговорил к двум годам тюрьмы колумнистов газеты Cumhuriyet («Республика») Хикмета Четинкая и Джейды Каран, которые перепечатали карикатуры на пророка Мухаммеда из французского еженедельника Charlie Hebdo. Об этом сообщается на сайте издания. Журналисты поместили изображения в свои материалы после нападения на редакцию Charlie Hebdo, произошедшего в январе 2015 года, в знак солидарности. Cumhuriyet была одним из пяти международных изданий, которые напечатали карикатуры французского еженедельника в знак поддержки атакованному сатирическому журналу, отмечает Reuters. Публикации вызвали широкий общественный резонанс. Прокуратура обвинила журналистов в оскорблении религиозных ценностей и потребовала лишить их свободы на 4,5 года. Джейда Каран заявила Reuters, что намерена обжаловать решение суда. «Мы не оставим эту страну фашистам под исламским соусом», — заявила она. Cumhuriyet — оппозиционное издание, его журналисты находятся в постоянном конфликте с турецкими властями. В ноябре 2015 за статью о контрабандных поставках турецкого вооружения сирийским повстанцам были арестованы главный редактор и корреспондент газеты Джан Дюндар и Эрдем Гюль. Журналистам предъявлены обвинения в пособничестве вооруженным террористическим группам и шпионаже. После того как турецкое правительство опровергло эту информацию, президент страны Реджеп Тайип Эрдоган подал в суд на главреда и журналиста. Он потребовал для них два пожизненных срока и еще 42 года заключения. 100 писателей из разных стран направили письмо турецкому премьер-министру Ахмету Давутоглу, в котором призвали снять обвинения с журналистов.",Интернет и СМИ,Пресса,2016/04/28
https://lenta.ru/news/2019/03/29/sniffdatshirt/,Реклама с нюхающей футболку мужчины азиаткой разгневала женщин,"Немецкую компанию Hornbach обвинили в расизме из-за рекламы, в которой девушка с азиатской внешностью покупает и нюхает грязную мужскую футболку, которую ранее носил белокожий мужчина. Как сообщает The Daily Mail, около тысячи человек подписали петицию с требованием извиниться за такую рекламную кампанию. Женщины из Южной Кореи посчитали, что таким образом компания играла на расовых стереотипах об азиатских женщинах. «Я уверена, что реклама Hornbach вызовет еще одну реальную проблему для азиатов, живущих в Германии, потому что в ней присутствует высмеивание образа азиатских женщин», — написала она из пользовательниц. По ее мнению, компания осознанно выбрала для рекламы образ азиатки, потому что «их часто представляют как экзотичный сексуальный объект, у которого нет голоса». Под роликом, опубликованном на YouTube, также присутствует множество гневных комментариев, преимущественно на корейском языке. В Hornbach, сети магазинов с товарами для дома, сада и огорода, попытались объяснить, что рекламная кампания со слоганом «Запах весны» не имеет расистского подтекста. Они утверждают, что реклама была призвана показать, как люди в больших городах заинтересованы в том, чтобы почувствовать запах природы, будто они за городом. Они также подчеркнули, что рекламный ролик с участием азиатки — лишь один из нескольких, и в других роликах есть персонажи другого пола и расы.",,Реклама,2019/03/29
https://lenta.ru/news/2008/11/05/save/,Российский теплоход спас 68 человек у берегов Мальты,"Экипаж российского теплохода ""Елена Шатрова"" спас 68 человек, терпевших бедствие у берегов Мальты, сообщает РИА Новости со ссылкой на пресс-центр Дальневосточного морского пароходства. Лодка, терпевшая бедствие, была замечена экипажем теплохода в 135 километрах к югу от берегов островного государства. Среди спасенных оказалось 16 женщин и 13 детей. Лодку подняли на борт теплохода судовым краном. Десятеро из спасенных предъявили свои паспорта, согласно которым они оказались гражданами Сомали. Предполагается, что все спасенные люди являются сомалийцами, которые пытались добраться из Туниса в Европу. В настоящее время российский теплоход направляется в мальтийский порт Ла-Валетта. Экипаж теплохода планирует передать спасенных людей властям Мальты. Урегулированием вопроса занимаются ответственные представители министерства транспорта и Федерального агентства морского и речного транспорта Российской Федерации.",Мир,Все,2008/11/05
https://lenta.ru/news/2016/05/06/oh_my_god/,Израильтянин подал в суд на Бога,"Израильтянин подал в суд Хайфы иск против Бога. Об этом сообщает The Times of Israel. Заявитель, имя которого не сообщается, пожаловался, что Создатель в последнее время особенно несправедлив к нему, однако подробностями не поделился. В протоколе заседания отметили, что Бог в качестве ответчика на суд не явился. Издание отмечает, что участникам процесса не удалось установить, что Всевышний именно не явился в зал суда, а не решил воспользоваться правом хранить молчание. По словам израильтянина, стражи порядка не очень рьяно реагировали на его жалобы на Бога: он в течение трех лет требовал запретить Господу приближаться к нему, однако полицейские не стали этого делать, и в 10 случаях просто отправляли к его дому патрульную машину. Судья назвал иск израильтянина смехотворным, заявив, что ему «следует обратиться за помощью к кому-то другому».",Мир,Общество,2016/05/06
https://lenta.ru/news/2013/02/06/rekord/,"В Москве стартовала премия ""Рекорды рынка недвижимости 2013""","С 1 февраля 2013 Московский Бизнес Клуб открыл прием заявок на ежегодную международную премию ""Рекорды рынка недвижимости"". Участие в премии является бесплатным. ""Лента.ру"" выступает информационным спонсором мероприятия.Масштабная рекламная кампания даст возможность каждому номинанту повысить узнаваемость своих проектов недвижимости, активизировать продажи, укрепить имидж компании и объекта. Компания может подать заявки в любое количество номинаций, но только с одним объектом, персоной, компанией, при условии соответствия заявленной номинации. Для участия необходимо заполнить регистрационную форму на сайте www.recordi.ru.Спешите стать номинантом! Дата Вашей регистрации – увеличивает шансы на победу! А чем быстрее заполните заявку, тем продолжительнее будет бесплатная рекламная кампания!Рекорды рынка недвижимости – ежегодная международная премия за достижения на рынке российской и зарубежной недвижимости. Организатор премии – Московский Бизнес Клуб.Церемония награждения гала-ужин в честь победителей состоятся 7 июня 2013 года в московском развлекательном комплексе Golden Palace. Вести мероприятие будет Ксения Собчак Событие посетят 400 топ-менеджеров рынка. Пресс-конференция с победителями премии пройдет 18 июня 2013.Миссия премии: помощь потребителям в поиске и выборе своей будущей недвижимости; возможность компаниям представить свои актуальные объекты и найти потенциальных покупателей; помощь в успешном взаимодействии профессионалов рынка недвижимости; повышение прозрачности и открытости информации об объектах и компаниях.Цели и задачи премии: предоставить потребителю максимальное количество наиболее актуальных объектов недвижимости для поиска по заданным критериям; создать эффективную платформу для коммуникации между продавцом и покупателем; развитие цивилизованного рынка девелопмента.Результаты участия в премии: в процессе масштабной рекламной кампании премии участник получает повышение узнаваемости и доверия к объектам недвижимости, активизацию продаж, укрепление имиджа компании и объекта, новых партнеров и привлечение финансирования в проекты.Премия объединяет все сегменты рынка недвижимости (жилая - новостройки и готовые  объекты, загородная, коммерческая и зарубежная); Широкий географический охват: Москва, Санкт-Петербург, Сочи, регионы России, зарубежные страны. Будут представлены все классы недвижимости: эконом, комфорт, бизнес, элит-класс;Объективность и независимость: подсчет голосов происходит в результате трех этапов голосования (народное голосование, голосование  жюри, профессиональное голосование);Статусная оценка: объект №1 - высшая оценка на рынке недвижимости; Авторитетность и беспристрастность жюри: профессиональные участники рынка, представители общественных ассоциаций, СМИ, представители государственной власти. Представители жюри не имеют право принимать участие в качестве номинанта премии.Номинации премии ""Рекорды рынка недвижимости 2013"":Grand Prix - специальный приз победителю народного голосования премии.Специальная номинация: Loft-Апартаменты.Основные номинации:1. Элитный объект.2. Микрорайон Москвы.3. Микрорайон Подмосковья.4. Новостройка Москвы.5. Новостройка Подмосковья.6. Жилой объект Санкт-Петербурга.7. Коттеджный поселок.8. Объект коммерческой недвижимости.9. Зарубежный объект.10. Малоэтажный комплекс.11. Инфраструктура объекта.12. Архитектурное решение.13. Семейный проект.14. Рекорд самой низкой цены квадратного метра.15. Премьера года.16. Выбор покупателя.Дополнительные номинации:1. Девелопер.2. Персона.3. Риелтор.4. Золотое бревно.Московский Бизнес Клуб - профессиональная бизнес-ассоциация, объединяющая владельцев и топ-менеджеров российских и иностранных компаний в сфере недвижимости, строительства и финансов. За 7 лет своей работы Московский Бизнес Клуб провел более 100 деловых событий по недвижимости в формате B2B/B2C (конференции, форумы, информационные туры на объекты, бизнес-завтраки, круглые столы, пресс-конференции, семинары, премии). МБК принял участие более чем в 200 российских и международных выставках, опубликовал более 500 экспертных статей, аналитических обзоров, рейтингов в деловых и специализированных СМИ. В состав клуба входят ведущие игроки рынка, которые являются его основными ньюсмейкерами. Члены клуба - частые гости прямых ТВ и радио-эфиров, герои деловых программ и интервью. Помимо представителей рынка недвижимости членами клуба являются крупнейшие компании российского бизнеса, такие как Beeline, Allianz (РОСНО), Interflora, сотрудничество с которыми помогает сделать бизнес успешнее и открывает новые возможности развития. Услуги клуба - это деловые коммуникации. Вступив в клуб, Вы найдете лояльных клиентов и новых бизнес-партнеров, будете участвовать в ведущих российских и международных выставках, повысите узнаваемость в СМИ.",Дом,Все,2013/02/06
https://lenta.ru/news/2017/03/09/australian/,Стали известны подробности расселения первых людей из Африки,"Австралийские и немецкие ученые описали основной путь расселения Австралии. Соответствующее исследование опубликовано в журнале Nature. Специалисты полагают, что примерно 50 тысяч лет назад, когда первые люди достигли территории современной Австралии, дальнейшее расселение по континенту происходило практически молниеносно вдоль западного и восточного побережья. Южной оконечности материка первые его жители достигли примерно 49 тысяч лет назад. К своим выводам ученые пришли, проанализировав митохондриальные геномы из образцов волос, собранных между 1920 и 1970 годами у 111 аборигенов из трех разных общин (двух — на юге Австралии, и одной — из северо-восточного штата Квинсленд). До последнего оледенения современные Австралия, Новая Гвинея и Тасмания были объединены сухопутными перешейками и формировали суперматерик Сахул. На нем люди могли оказаться на несколько тысяч лет раньше, чем в Европе. Считается, что в Евразии (точнее, Азии) современный человек появился 47-65 тысяч лет назад. Австралийцы, таким образом, были одними из первых поселенцев за пределами Африки.",Наука и техника,Наука,2017/03/09
https://lenta.ru/news/2010/03/17/wood/,"Минприроды нашло способ ответить на ""углеродный протекционизм""","Россия может ввести экспортную пошлину на лес в случае, если ее торговые партнеры будут применять по отношению к российским производителям меры ""углеродного протекционизма"". Об этом заявил глава Минприроды Юрий Трутнев, передает ""Интерфакс"". По словам Трутнева, введение экспортных пошлин откладывалось из-за просьб со стороны потребителей российского леса. ""Но если они будут защищаться от нашей продукции, вряд ли у нас возникнет необходимость настолько же внимательно продолжать их защищать"", - цитирует министра агентство Reuters. Из сообщений информагентств не совсем ясно, имел ли в виду Трутнев введение новых пошлин или увеличение старых. Дело в том, что в России уже существуют экспортные пошлины на необработанную древесину: они составляют 25 процентов от таможенной стоимости, но не менее 15 евро за кубометр. В рамках развития собственной деревообрабатывающей промышленности Россия планировала в течение нескольких лет последовательно поднимать пошлины, однако в 2009 году их ставка была заморожена. По словам премьер-министра Владимира Путина, льготные ставки будут действовать и в 2010 году, а, возможно, - и в 2011-м. Термин ""углеродный протекционизм"" получил широкое распространение в конце 2009 года в преддверии климатического саммита ООН в Копенгагене. В декабре координатор климатической программы ""WWF Россия"" Алексей Кокорин приводил в качестве примера ""углеродного протекционизма"" специальную пошлину на вредные выбросы, которая собирается в Европе с авиакомпаний. ""Но платеж берется с иностранных самолетов (государств, не входящих в ЕС), а не в зависимости от их типа"", - объяснял Кокорин газете ""Ведомости"". Против ""углеродного протекционизма"" уже выступил президент России Дмитрий Медведев. По его словам, такие меры могут негативно сказаться на отечественном экспорте.",Экономика,Все,2010/03/17
https://lenta.ru/news/2008/01/08/poster/,Еврейских ультраправых задержали за коллаж с Бушем и Ольмертом,"Полиция Иерусалима арестовала шестерых ультраправых активистов за расклейку плакатов, на которых Джордж Буш, Шимон Перес и Эхуд Ольмерт изображены в палестинских ""арафатках"" и названы ""пособниками террора"", пишет Yedioth Ahronoth. Сообщается, что все шестеро принадлежат к радикальной правой организации ""Еврейский национальный фронт"" (JNF). Всем им предъявлены обвинения в вандализме. Кроме того, выяснилось, что за расклейку им платили. Между тем представители ""Еврейского национального фронта"" заявили, что расклейка плакатов полностью легальна, и  обвинили полицию в нарушении фундаментального права на свободу слова. Они также пообещали, что продолжат распространять указанные плакаты и возьмут их на акцию протеста, которую планируют провести перед отелем The King David Hotel, где Джордж Буш должен остановиться в ходе своего предстоящего визита в Израиль. Ожидается, что Буш прибудет в Иерусалим в среду, 9 января, в рамках своего официального турне по странам Ближнего востока. Это его первый визит  в Израиль. Буш намерен обсудить с Ольмертом и Пересом дальнейшие шаги по мирному урегулированию арабо-израильского конфликта и созданию независимого палестинского государства. В 2007 году при активном содействии США в американском Аннаполисе прошли переговоры между Израилем, властями Палестинской автономии и представителями арабских государств. Между тем ряд радикальных израильских политиков считают посредничество США контрпродуктивным. По их мнению, мирные инициативы Белого дома только укрепляют влияние арабских экстремистов.",Мир,Все,2008/01/08
https://lenta.ru/news/2015/03/23/savisaar/,Врачи назвали состояние мэра Таллина критическим,"Врачи клиники Маарьямыйза в Тарту оценили состояние мэра Таллина, лидера Центристской партии Эдгара Сависаара, госпитализированного на прошлой неделе, как критическое. Об этом, как передает Postimees, медики сообщили на пресс-конференции, организованной центристами. По словам заведующего клиники анестезиологии и интенсивной терапии Йоэля Старкопфа — лечащего врача Сависаара, в результате распространения стафилококковой инфекции политику провели две операции. В ходе одной из них политику ампутировали ногу выше колена. Старкопф добавил, что завтра будет решаться вопрос о том, нужна ли еще одна операция. Медики отметили, что речи об улучшении состояния пока нет. На прошлой неделе лидера центристов госпитализировали с двусторонним воспалением легких, все это время врачи держали его в состоянии искусственной комы. После создания в 1991 году Центристской партии на основе Народного фронта Эстонии, ее возглавил Эдгар Сависаар. На последних парламентских выборах она заняла второе место. С 2007 года Сависаар занимает пост мэра Таллина.",Бывший СССР,Украина,2015/03/23
https://lenta.ru/news/2006/08/17/sobolev/,Последнему задержанному по делу Эрмитажа предъявили обвинение,"Ивану Соболеву, третьему подозреваемому в хищении экспонатов из Эрмитажа, предъявлено обвинение в краже. Таким образом, обвинения предъявлены всем арестованным в связи с этим преступлением, сообщает РИА Новости со ссылкой на источник в Генеральной прокуратуре РФ. Иван Соболев, доцент Санкт-Петербургского Государственного университета, а в прошлом преподаватель института имени Лесгафта, был задержан 11 августа 2006 года. Следствие предполагало, что этот человек является организатором хищения. Ранее он работал ранее вместе с другим подозреваемым - Николаем Завадским-старшим, мужем покойной хранительницы эрмитажного фонда русского ювелирного искусства, откуда исчез 221 экспонат. Из троих арестованных только Николай Завадский-старший признал свою вину. Его сын Николай Завадский-младший и Иван Соболев признательные показания не дали. Проходивший ранее как подозреваемый в деле о краже антиквар Максим Шепель отпущен из-под стражи и является теперь свидетелем. В Герпрокуратуре также сообщили, что найдено 24 предмета из 221, объявленного в розыск. Ранее было известно о только о 21, возвращенном следствию.",Культура,Все,2006/08/17
